t1,c
2020-12-20 12:42:59.999,0.027316
2020-12-20 12:43:59.999,0.027315
2020-12-20 12:44:59.999,0.027304
2020-12-20 12:45:59.999,0.027304
2020-12-20 12:46:59.999,0.027306
2020-12-20 12:47:59.999,0.027306
2020-12-20 12:48:59.999,0.027305
2020-12-20 12:49:59.999,0.027306
2020-12-20 12:50:59.999,0.027297
2020-12-20 12:51:59.999,0.027295
2020-12-20 12:52:59.999,0.027298
2020-12-20 12:53:59.999,0.027278
2020-12-20 12:54:59.999,0.027269
2020-12-20 12:55:59.999,0.027265
2020-12-20 12:56:59.999,0.027256
2020-12-20 12:57:59.999,0.027253
2020-12-20 12:58:59.999,0.02726
2020-12-20 12:59:59.999,0.027287
2020-12-20 13:00:59.999,0.027271
2020-12-20 13:01:59.999,0.027284
2020-12-20 13:02:59.999,0.027268
2020-12-20 13:03:59.999,0.027268
2020-12-20 13:04:59.999,0.027274
2020-12-20 13:05:59.999,0.027254
2020-12-20 13:06:59.999,0.027261
2020-12-20 13:07:59.999,0.027255
2020-12-20 13:08:59.999,0.027272
2020-12-20 13:09:59.999,0.027284
2020-12-20 13:10:59.999,0.027272
2020-12-20 13:11:59.999,0.027263
2020-12-20 13:12:59.999,0.027286
2020-12-20 13:13:59.999,0.027278
2020-12-20 13:14:59.999,0.027284
2020-12-20 13:15:59.999,0.027299
2020-12-20 13:16:59.999,0.027307
2020-12-20 13:17:59.999,0.027307
2020-12-20 13:18:59.999,0.027303
2020-12-20 13:19:59.999,0.027291
2020-12-20 13:20:59.999,0.027239
2020-12-20 13:21:59.999,0.027241
2020-12-20 13:22:59.999,0.027236
2020-12-20 13:23:59.999,0.027229
2020-12-20 13:24:59.999,0.027242
2020-12-20 13:25:59.999,0.027244
2020-12-20 13:26:59.999,0.027241
2020-12-20 13:27:59.999,0.02724
2020-12-20 13:28:59.999,0.027236
2020-12-20 13:29:59.999,0.027239
2020-12-20 13:30:59.999,0.027249
2020-12-20 13:31:59.999,0.027258
2020-12-20 13:32:59.999,0.027257
2020-12-20 13:33:59.999,0.027272
2020-12-20 13:34:59.999,0.027257
2020-12-20 13:35:59.999,0.027256
2020-12-20 13:36:59.999,0.027262
2020-12-20 13:37:59.999,0.027241
2020-12-20 13:38:59.999,0.027233
2020-12-20 13:39:59.999,0.027226
2020-12-20 13:40:59.999,0.027222
2020-12-20 13:41:59.999,0.027219
2020-12-20 13:42:59.999,0.027212
2020-12-20 13:43:59.999,0.027223
2020-12-20 13:44:59.999,0.027214
2020-12-20 13:45:59.999,0.027221
2020-12-20 13:46:59.999,0.027216
2020-12-20 13:47:59.999,0.027194
2020-12-20 13:48:59.999,0.027206
2020-12-20 13:49:59.999,0.027194
2020-12-20 13:50:59.999,0.027218
2020-12-20 13:51:59.999,0.027228
